user_id,month,year,query_counts,last_active_date,query_types,num_docs_total,avg_feedback_score,engagement_level
001f04ed53bd5bc8aeaf7c099f7308a5,5.0,2024.0,12,2024-05-28,"[""ASSISTANT"", ""VAULT"", ""WORKFLOW""]",97,4.3,Avg
004c8681bd00ff1407736ab1549c24f6,4.0,2024.0,4,2024-04-09,"[""ASSISTANT"", ""VAULT""]",19,4.5,Low
004c8681bd00ff1407736ab1549c24f6,5.0,2024.0,2,2024-05-22,"[""ASSISTANT"", ""VAULT""]",28,3.5,Low
004d2cd03ef8d602f1d6394c6b70b539,5.0,2024.0,1,2024-05-28,"[""ASSISTANT""]",1,5.0,Low
004d2cd03ef8d602f1d6394c6b70b539,6.0,2024.0,1,2024-06-18,"[""ASSISTANT""]",2,5.0,Low
0072941fee80e31dae2d79d92f1a0f6a,4.0,2024.0,2,2024-04-24,"[""ASSISTANT"", ""WORKFLOW""]",2,3.5,Low
0072941fee80e31dae2d79d92f1a0f6a,5.0,2024.0,1,2024-05-29,"[""VAULT""]",8,3.0,Low
008621d221d989bdf746ca77fb58a854,5.0,2024.0,1,2024-05-22,"[""ASSISTANT""]",1,5.0,Low
00938322ea3b4bf0fbac16ea5c7b47b7,6.0,2024.0,3,2024-06-18,"[""ASSISTANT"", ""VAULT"", ""WORKFLOW""]",6,4.0,Low
00d194e9dc94e2d540a70854c9510507,5.0,2024.0,6,2024-05-24,"[""ASSISTANT"", ""VAULT"", ""WORKFLOW""]",47,4.5,Low
00d194e9dc94e2d540a70854c9510507,6.0,2024.0,3,2024-06-13,"[""VAULT""]",60,4.7,Low
00daf924b84ecd9afd6fbe47da0ee0a1,5.0,2024.0,5,2024-05-29,"[""ASSISTANT"", ""VAULT"", ""WORKFLOW""]",32,4.8,Low
00daf924b84ecd9afd6fbe47da0ee0a1,6.0,2024.0,1,2024-06-18,"[""ASSISTANT""]",1,3.0,Low
00eff198ec916bf4e2fc96572c621f6a,5.0,2024.0,1,2024-05-15,"[""ASSISTANT""]",1,5.0,Low
00eff198ec916bf4e2fc96572c621f6a,6.0,2024.0,1,2024-06-03,"[""ASSISTANT""]",1,4.0,Low
0138bcab5eca616fd13ef7ad16b1b636,5.0,2024.0,11,2024-05-31,"[""ASSISTANT"", ""VAULT"", ""WORKFLOW""]",73,4.1,Avg
0138bcab5eca616fd13ef7ad16b1b636,6.0,2024.0,1,2024-06-20,"[""VAULT""]",42,5.0,Low
015ef0fe7fabaa9fc584474f02a49183,4.0,2024.0,2,2024-04-16,"[""VAULT"", ""WORKFLOW""]",51,5.0,Low
015ef0fe7fabaa9fc584474f02a49183,6.0,2024.0,1,2024-06-11,"[""VAULT""]",27,4.0,Low
015fb7518496340686eae0d5562eeaa1,5.0,2024.0,2,2024-05-26,"[""VAULT"", ""WORKFLOW""]",2,4.0,Low
015fb7518496340686eae0d5562eeaa1,6.0,2024.0,3,2024-06-03,"[""ASSISTANT"", ""VAULT""]",11,3.3,Avg
017324238df99c347669a69bf560e2e3,4.0,2024.0,1,2024-04-05,"[""VAULT""]",11,5.0,Avg
017324238df99c347669a69bf560e2e3,6.0,2024.0,1,2024-06-21,"[""VAULT""]",27,3.0,Low
0197706671646358f53846efffc8f533,6.0,2024.0,6,2024-06-11,"[""ASSISTANT""]",10,4.7,Avg
019b5bd90503290c4c729d3cf3d231d4,5.0,2024.0,1,2024-05-22,"[""WORKFLOW""]",1,4.0,Low
019b5bd90503290c4c729d3cf3d231d4,6.0,2024.0,1,2024-06-18,"[""VAULT""]",33,5.0,Low
01b5b7082befc1220a27175e467802ce,4.0,2024.0,2,2024-04-16,"[""ASSISTANT""]",3,4.5,Low
01b5b7082befc1220a27175e467802ce,5.0,2024.0,2,2024-05-29,"[""VAULT""]",64,3.5,Low
01b5b7082befc1220a27175e467802ce,6.0,2024.0,4,2024-06-05,"[""ASSISTANT"", ""VAULT"", ""WORKFLOW""]",31,4.3,Low
01c7c2f820caf23ffcaa39052e1f5472,4.0,2024.0,1,2024-04-16,"[""WORKFLOW""]",3,5.0,Low
