CREATED,FIRM_ID,USER_ID,EVENT_TYPE,NUM_DOCS,FEEDBACK_SCORE
5/28/2024,1063,001f04ed53bd5bc8aeaf7c099f7308a5,WORKFLOW,1,4
5/15/2024,1063,001f04ed53bd5bc8aeaf7c099f7308a5,WORKFLOW,1,5
5/13/2024,1063,001f04ed53bd5bc8aeaf7c099f7308a5,VAULT,23,4
5/13/2024,1063,001f04ed53bd5bc8aeaf7c099f7308a5,ASSISTANT,1,4
5/13/2024,1063,001f04ed53bd5bc8aeaf7c099f7308a5,ASSISTANT,1,4
5/13/2024,1063,001f04ed53bd5bc8aeaf7c099f7308a5,VAULT,12,4
5/13/2024,1063,001f04ed53bd5bc8aeaf7c099f7308a5,ASSISTANT,1,3
5/13/2024,1063,001f04ed53bd5bc8aeaf7c099f7308a5,VAULT,10,5
5/9/2024,1063,001f04ed53bd5bc8aeaf7c099f7308a5,VAULT,44,5
5/9/2024,1063,001f04ed53bd5bc8aeaf7c099f7308a5,ASSISTANT,1,4
5/9/2024,1063,001f04ed53bd5bc8aeaf7c099f7308a5,ASSISTANT,1,5
5/9/2024,1063,001f04ed53bd5bc8aeaf7c099f7308a5,ASSISTANT,1,4
5/22/2024,1069,004c8681bd00ff1407736ab1549c24f6,ASSISTANT,1,4
5/3/2024,1069,004c8681bd00ff1407736ab1549c24f6,VAULT,27,3
4/9/2024,1069,004c8681bd00ff1407736ab1549c24f6,ASSISTANT,1,5
4/4/2024,1069,004c8681bd00ff1407736ab1549c24f6,VAULT,11,4
4/4/2024,1069,004c8681bd00ff1407736ab1549c24f6,ASSISTANT,1,5
4/3/2024,1069,004c8681bd00ff1407736ab1549c24f6,VAULT,6,4
6/18/2024,1063,004d2cd03ef8d602f1d6394c6b70b539,ASSISTANT,2,5
5/28/2024,1063,004d2cd03ef8d602f1d6394c6b70b539,ASSISTANT,1,5
5/29/2024,1037,0072941fee80e31dae2d79d92f1a0f6a,VAULT,8,3
4/24/2024,1037,0072941fee80e31dae2d79d92f1a0f6a,WORKFLOW,1,4
4/24/2024,1037,0072941fee80e31dae2d79d92f1a0f6a,ASSISTANT,1,3
5/22/2024,101169,008621d221d989bdf746ca77fb58a854,ASSISTANT,1,5
6/18/2024,101141,00938322ea3b4bf0fbac16ea5c7b47b7,ASSISTANT,1,5
6/5/2024,101141,00938322ea3b4bf0fbac16ea5c7b47b7,WORKFLOW,1,2
6/3/2024,101141,00938322ea3b4bf0fbac16ea5c7b47b7,VAULT,4,5
6/13/2024,1063,00d194e9dc94e2d540a70854c9510507,VAULT,38,5
6/13/2024,1063,00d194e9dc94e2d540a70854c9510507,VAULT,16,5
6/13/2024,1063,00d194e9dc94e2d540a70854c9510507,VAULT,6,4
5/24/2024,1063,00d194e9dc94e2d540a70854c9510507,WORKFLOW,1,4
5/24/2024,1063,00d194e9dc94e2d540a70854c9510507,ASSISTANT,1,5
5/21/2024,1063,00d194e9dc94e2d540a70854c9510507,VAULT,42,4
5/10/2024,1063,00d194e9dc94e2d540a70854c9510507,WORKFLOW,1,5
5/10/2024,1063,00d194e9dc94e2d540a70854c9510507,ASSISTANT,1,4
5/10/2024,1063,00d194e9dc94e2d540a70854c9510507,WORKFLOW,1,5
6/18/2024,1065,00daf924b84ecd9afd6fbe47da0ee0a1,ASSISTANT,1,3
5/29/2024,1065,00daf924b84ecd9afd6fbe47da0ee0a1,VAULT,4,5
5/29/2024,1065,00daf924b84ecd9afd6fbe47da0ee0a1,ASSISTANT,1,5
5/29/2024,1065,00daf924b84ecd9afd6fbe47da0ee0a1,WORKFLOW,1,5
5/29/2024,1065,00daf924b84ecd9afd6fbe47da0ee0a1,WORKFLOW,1,4
5/28/2024,1065,00daf924b84ecd9afd6fbe47da0ee0a1,VAULT,25,5
6/3/2024,1080,00eff198ec916bf4e2fc96572c621f6a,ASSISTANT,1,4
5/15/2024,1080,00eff198ec916bf4e2fc96572c621f6a,ASSISTANT,1,5
6/20/2024,1037,0138bcab5eca616fd13ef7ad16b1b636,VAULT,42,5
5/31/2024,1037,0138bcab5eca616fd13ef7ad16b1b636,ASSISTANT,2,3
5/28/2024,1037,0138bcab5eca616fd13ef7ad16b1b636,ASSISTANT,1,5
5/22/2024,1037,0138bcab5eca616fd13ef7ad16b1b636,ASSISTANT,3,4
5/21/2024,1037,0138bcab5eca616fd13ef7ad16b1b636,WORKFLOW,2,4
5/19/2024,1037,0138bcab5eca616fd13ef7ad16b1b636,VAULT,37,5
5/19/2024,1037,0138bcab5eca616fd13ef7ad16b1b636,ASSISTANT,3,5
5/14/2024,1037,0138bcab5eca616fd13ef7ad16b1b636,WORKFLOW,2,5
5/10/2024,1037,0138bcab5eca616fd13ef7ad16b1b636,ASSISTANT,6,3
5/10/2024,1037,0138bcab5eca616fd13ef7ad16b1b636,ASSISTANT,5,4
5/9/2024,1037,0138bcab5eca616fd13ef7ad16b1b636,ASSISTANT,6,4
5/9/2024,1037,0138bcab5eca616fd13ef7ad16b1b636,WORKFLOW,6,3
6/11/2024,101141,015ef0fe7fabaa9fc584474f02a49183,VAULT,27,4
4/16/2024,101141,015ef0fe7fabaa9fc584474f02a49183,WORKFLOW,1,5
4/3/2024,101141,015ef0fe7fabaa9fc584474f02a49183,VAULT,50,5
6/3/2024,1668,015fb7518496340686eae0d5562eeaa1,ASSISTANT,1,4
6/3/2024,1668,015fb7518496340686eae0d5562eeaa1,ASSISTANT,1,1
6/3/2024,1668,015fb7518496340686eae0d5562eeaa1,VAULT,9,5
5/26/2024,1668,015fb7518496340686eae0d5562eeaa1,WORKFLOW,1,4
5/15/2024,1668,015fb7518496340686eae0d5562eeaa1,VAULT,1,4
6/21/2024,1068,017324238df99c347669a69bf560e2e3,VAULT,27,3
4/5/2024,1068,017324238df99c347669a69bf560e2e3,VAULT,11,5
6/11/2024,1037,0197706671646358f53846efffc8f533,ASSISTANT,2,5
6/5/2024,1037,0197706671646358f53846efffc8f533,ASSISTANT,1,4
6/5/2024,1037,0197706671646358f53846efffc8f533,ASSISTANT,1,5
6/5/2024,1037,0197706671646358f53846efffc8f533,ASSISTANT,2,5
6/5/2024,1037,0197706671646358f53846efffc8f533,ASSISTANT,2,5
6/5/2024,1037,0197706671646358f53846efffc8f533,ASSISTANT,2,4
6/18/2024,1076,019b5bd90503290c4c729d3cf3d231d4,VAULT,33,5
5/22/2024,1076,019b5bd90503290c4c729d3cf3d231d4,WORKFLOW,1,4
6/5/2024,1785,01b5b7082befc1220a27175e467802ce,ASSISTANT,1,4
6/4/2024,1785,01b5b7082befc1220a27175e467802ce,VAULT,18,4
6/4/2024,1785,01b5b7082befc1220a27175e467802ce,VAULT,11,5
6/4/2024,1785,01b5b7082befc1220a27175e467802ce,WORKFLOW,1,4
5/29/2024,1785,01b5b7082befc1220a27175e467802ce,VAULT,40,3
5/21/2024,1785,01b5b7082befc1220a27175e467802ce,VAULT,24,4
